time,actor,id,durationOrDestinationId
383,T,127,-1
383,T,127,0
383,S,0,6
384,T,128,-1
384,T,128,3
384,S,3,13
386,T,129,-1
386,T,129,1
386,S,1,12
388,T,130,-1
388,T,130,2
388,S,2,9
393,T,131,-1
393,T,131,0
393,S,0,13
394,T,132,-1
394,T,132,4
394,S,4,9
398,T,133,-1
398,T,133,1
398,S,1,9
399,T,134,-1
399,T,134,3
399,S,3,11
402,T,135,-1
402,T,135,2
402,S,2,6
405,T,136,-1
405,T,136,4
405,S,4,16
406,T,137,-1
406,T,137,0
406,S,0,11
409,T,138,-1
409,T,138,2
409,S,2,7
414,T,139,-1
414,T,139,1
414,S,1,12
417,T,140,-1
417,T,140,3
417,S,3,13
422,T,141,-1
422,T,141,0
422,S,0,14
423,T,142,-1
423,T,142,2
423,S,2,12
427,T,143,-1
427,T,143,1
427,S,1,11
429,T,144,-1
429,T,144,4
429,S,4,8
433,T,145,-1
433,T,145,3
433,S,3,5
436,T,146,-1
436,T,146,0
436,S,0,12
438,T,147,-1
438,T,147,2
438,S,2,12
440,T,148,-1
440,T,148,3
440,S,3,6
442,T,149,-1
442,T,149,1
442,S,1,16
447,T,150,-1
447,T,150,3
447,S,3,9
450,T,151,-1
450,T,151,0
450,S,0,8
451,T,152,-1
451,T,152,2
451,S,2,16
454,T,153,-1
454,T,153,4
454,S,4,7
458,T,154,-1
458,T,154,0
458,S,0,10
460,T,155,-1
460,T,155,1
460,S,1,13
465,T,156,-1
465,T,156,3
465,S,3,12
470,T,157,-1
470,T,157,2
470,S,2,14
474,T,158,-1
474,T,158,0
474,S,0,12
478,T,159,-1
478,T,159,1
478,S,1,6
483,T,160,-1
483,T,160,3
483,S,3,11
485,T,161,-1
485,T,161,2
485,S,2,8
486,T,162,-1
486,T,162,1
486,S,1,7
487,T,163,-1
487,T,163,0
487,S,0,7
492,T,164,-1
492,T,164,4
492,S,4,7
496,T,165,-1
496,T,165,0
496,S,0,12
501,T,166,-1
501,T,166,3
501,S,3,5
505,T,167,-1
505,T,167,1
505,S,1,14
509,T,168,-1
509,T,168,3
509,S,3,7
510,T,169,-1
510,T,169,0
510,S,0,7
513,T,170,-1
513,T,170,2
513,S,2,14
516,T,171,-1
516,T,171,3
516,S,3,9
521,T,172,-1
521,T,172,0
521,S,0,5
522,T,173,-1
522,T,173,1
522,S,1,12
527,T,174,-1
527,T,174,3
527,S,3,14
532,T,175,-1
532,T,175,2
532,S,2,8
534,T,176,-1
534,T,176,1
534,S,1,5
536,T,177,-1
536,T,177,0
536,S,0,14
540,T,178,-1
540,T,178,1
540,S,1,15
544,T,179,-1
544,T,179,2
544,S,2,14
549,T,180,-1
549,T,180,3
549,S,3,12
550,T,181,-1
550,T,181,0
550,S,0,9
554,T,182,-1
554,T,182,4
554,S,4,11
556,T,183,-1
556,T,183,1
556,S,1,14
560,T,184,-1
560,T,184,0
560,S,0,6
565,T,185,-1
565,T,185,2
565,S,2,14
567,T,186,-1
567,T,186,0
567,S,0,6
569,T,187,-1
569,T,187,3
569,S,3,5
572,T,188,-1
572,T,188,1
572,S,1,14
577,T,189,-1
577,T,189,3
577,S,3,5
581,T,190,-1
581,T,190,0
581,S,0,11
582,T,191,-1
582,T,191,2
582,S,2,14
584,T,192,-1
584,T,192,3
584,S,3,11
589,T,193,-1
589,T,193,1
589,S,1,13
593,T,194,-1
593,T,194,0
593,S,0,5
595,T,195,-1
595,T,195,3
595,S,3,7
598,T,196,-1
598,T,196,0
598,S,0,15
603,T,197,-1
603,T,197,2
603,S,2,8
605,T,198,-1
605,T,198,1
605,S,1,6
610,T,199,-1
610,T,199,3
610,S,3,16
615,T,200,-1
615,T,200,2
615,S,2,8
620,T,201,-1
620,T,201,1
620,S,1,11
625,T,202,-1
625,T,202,2
625,S,2,7
627,T,203,-1
627,T,203,0
627,S,0,5
632,T,204,-1
632,T,204,1
632,S,1,9
636,T,205,-1
636,T,205,0
636,S,0,13
638,T,206,-1
638,T,206,3
638,S,3,5
640,T,207,-1
640,T,207,2
640,S,2,15
645,T,208,-1
645,T,208,3
645,S,3,16
646,T,209,-1
646,T,209,1
646,S,1,8
647,T,210,-1
647,T,210,4
647,S,4,15
650,T,211,-1
650,T,211,0
650,S,0,5
655,T,212,-1
655,T,212,0
655,S,0,13
657,T,213,-1
657,T,213,1
657,S,1,5
659,T,214,-1
659,T,214,2
659,S,2,10
661,T,215,-1
661,T,215,3
661,S,3,5
664,T,216,-1
664,T,216,1
664,S,1,13
669,T,217,-1
669,T,217,0
669,S,0,16
671,T,218,-1
671,T,218,3
671,S,3,10
672,T,219,-1
672,T,219,2
672,S,2,11
673,T,220,-1
673,T,220,4
673,S,4,15
677,T,221,-1
677,T,221,1
677,S,1,8
678,T,222,-1
678,T,222,2
680,T,223,-1
680,T,223,4
683,S,2,9
684,T,224,-1
684,T,224,3
684,S,3,5
688,T,225,-1
688,S,4,8
688,T,225,1
688,S,1,15
689,T,226,-1
689,T,226,0
689,S,0,12
694,T,227,-1
694,T,227,3
694,S,3,15
699,T,228,-1
699,T,228,2
699,S,2,16
704,T,229,-1
704,T,229,1
704,S,1,11
708,T,230,-1
708,T,230,0
708,S,0,13
713,T,231,-1
713,T,231,3
713,S,3,5
714,T,232,-1
714,T,232,4
714,S,4,9
715,T,233,-1
715,T,233,2
715,S,2,16
720,T,234,-1
720,T,234,3
720,S,3,13
721,T,235,-1
721,T,235,1
721,S,1,15
724,T,236,-1
724,T,236,0
724,S,0,11
728,T,237,-1
728,T,237,4
728,S,4,10
730,T,238,-1
730,T,238,0
732,T,239,-1
732,T,239,2
732,S,2,12
733,T,240,-1
733,T,240,3
733,S,3,7
735,S,0,14
737,T,241,-1
737,T,241,1
737,S,1,5
740,T,242,-1
740,T,242,3
740,S,3,6
742,T,243,-1
742,T,243,1
742,S,1,5
746,T,244,-1
746,T,244,2
746,S,2,8
749,T,245,-1
749,T,245,1
749,S,1,5
751,T,246,-1
751,T,246,3
751,S,3,8
753,T,247,-1
753,T,247,0
753,S,0,11
757,T,248,-1
757,T,248,1
757,S,1,6
762,T,249,-1
762,T,249,2
762,S,2,15
764,T,250,-1
764,T,250,1
764,S,1,14
767,T,251,-1
767,T,251,3
767,S,3,15
770,T,252,-1
770,T,252,0
770,S,0,13
773,T,253,-1
773,T,253,4
773,S,4,6
774,T,254,-1
774,T,254,0
779,T,255,-1
779,T,255,2
779,S,2,14
780,T,256,-1
780,T,256,1
780,S,1,9
782,T,257,-1
782,T,257,3
782,S,3,7
783,S,0,10
785,T,258,-1
785,T,258,4
785,S,4,15
788,T,259,-1
788,T,259,4
789,T,260,-1
789,T,260,3
789,S,3,15
794,T,261,-1
794,T,261,0
794,S,0,13
799,T,262,-1
799,T,262,2
799,S,2,15
800,S,4,14
801,T,263,-1
801,T,263,1
801,S,1,14
805,T,264,-1
805,T,264,3
805,S,3,12
807,T,265,-1
807,T,265,0
807,S,0,6
808,T,266,-1
808,T,266,3
812,T,267,-1
812,T,267,1
815,T,268,-1
815,T,268,2
815,S,2,5
815,S,1,10
817,S,3,15
820,T,269,-1
820,T,269,2
820,S,2,10
821,T,270,-1
821,T,270,0
821,S,0,7
826,T,271,-1
826,T,271,1
826,S,1,10
828,T,272,-1
828,T,272,0
828,S,0,10
833,T,273,-1
833,T,273,3
833,S,3,12
835,T,274,-1
835,T,274,2
835,S,2,13
837,T,275,-1
837,T,275,1
837,S,1,14
840,T,276,-1
840,T,276,0
840,S,0,6
844,T,277,-1
844,T,277,4
844,S,4,15
845,T,278,-1
845,T,278,3
845,S,3,7
850,T,279,-1
850,T,279,2
850,S,2,10
853,T,280,-1
853,T,280,0
853,S,0,10
858,T,281,-1
858,T,281,1
858,S,1,9
859,T,282,-1
859,T,282,3
859,S,3,12
863,T,283,-1
863,T,283,0
863,S,0,6
865,T,284,-1
865,T,284,2
865,S,2,5
866,T,285,-1
866,T,285,4
866,S,4,13
869,T,286,-1
869,T,286,0
869,S,0,9
873,T,287,-1
873,T,287,3
873,S,3,9
874,T,288,-1
874,T,288,2
874,S,2,12
875,T,289,-1
875,T,289,1
875,S,1,14
880,T,290,-1
880,T,290,0
880,S,0,11
884,T,291,-1
884,T,291,3
884,S,3,8
889,T,292,-1
889,T,292,2
889,S,2,16
894,T,293,-1
894,T,293,0
894,S,0,8
898,T,294,-1
898,T,294,1
898,S,1,7
901,T,295,-1
901,T,295,3
901,S,3,5
906,T,296,-1
906,T,296,3
906,S,3,16
909,T,297,-1
909,T,297,2
909,S,2,8
912,T,298,-1
912,T,298,0
912,S,0,14
915,T,299,-1
915,T,299,1
915,S,1,11
918,T,300,-1
918,T,300,2
918,S,2,16
920,T,301,-1
920,T,301,4
920,S,4,14
921,T,302,-1
921,T,302,4
923,T,303,-1
923,T,303,3
923,S,3,14
928,T,304,-1
928,T,304,1
928,S,1,5
933,T,305,-1
933,T,305,0
933,S,0,15
934,S,4,8
938,T,306,-1
938,T,306,3
938,S,3,15
939,T,307,-1
939,T,307,1
939,S,1,16
944,T,308,-1
944,T,308,2
944,S,2,15
946,T,309,-1
946,T,309,4
946,S,4,9
947,T,310,-1
947,T,310,1
950,T,311,-1
950,T,311,0
950,S,0,8
955,T,312,-1
955,S,1,9
955,T,312,3
955,S,3,11
957,T,313,-1
957,T,313,4
957,S,4,16
959,T,314,-1
959,T,314,0
959,S,0,14
964,T,315,-1
964,T,315,1
964,S,1,5
966,T,316,-1
966,T,316,2
966,S,2,14
971,T,317,-1
971,T,317,3
971,S,3,5
976,T,318,-1
976,T,318,0
976,S,0,14
981,T,319,-1
981,T,319,2
981,S,2,15
986,T,320,-1
986,T,320,3
986,S,3,12
989,T,321,-1
989,T,321,1
989,S,1,13
990,T,322,-1
990,T,322,0
990,S,0,11
993,T,323,-1
993,T,323,4
993,S,4,13
998,T,324,-1
998,T,324,3
998,S,3,9
1000,T,325,-1
1000,T,325,2
1000,S,2,15
1004,T,326,-1
1004,T,326,0
1004,S,0,8
1005,T,327,-1
1005,T,327,1
1005,S,1,5
1009,T,328,-1
1009,T,328,3
1009,S,3,7
1014,T,329,-1
1014,T,329,0
1014,S,0,8
1017,T,330,-1
1017,T,330,3
1017,S,3,11
1019,T,331,-1
1019,T,331,2
1019,S,2,6
1020,T,332,-1
1020,T,332,1
1020,S,1,15
1021,T,333,-1
1021,T,333,4
1021,S,4,13
1025,T,334,-1
1025,T,334,0
1025,S,0,9
1030,T,335,-1
1030,T,335,2
1030,S,2,14
1032,T,336,-1
1032,T,336,3
1032,S,3,10
1034,T,337,-1
1034,T,337,0
1034,S,0,11
1035,T,338,-1
1035,T,338,1
1035,S,1,6
1037,T,339,-1
1037,T,339,4
1037,S,4,10
1042,T,340,-1
1042,T,340,3
1042,S,3,6
1045,T,341,-1
1045,T,341,2
1045,S,2,16
1048,T,342,-1
1048,T,342,3
1048,S,3,9
1049,T,343,-1
1049,T,343,0
1049,S,0,16
1054,T,344,-1
1054,T,344,1
1054,S,1,8
1055,T,345,-1
1055,T,345,4
1055,S,4,8
1058,T,346,-1
1058,T,346,3
1058,S,3,10
1062,T,347,-1
1062,T,347,2
1062,S,2,13
1066,T,348,-1
1066,T,348,0
1066,S,0,8
1071,T,349,-1
1071,T,349,3
1071,S,3,10
1074,T,350,-1
1074,T,350,0
1074,S,0,10
1076,T,351,-1
1076,T,351,1
1076,S,1,12
1080,T,352,-1
1080,T,352,2
1080,S,2,9
1084,T,353,-1
1084,T,353,0
1084,S,0,11
1088,T,354,-1
1088,T,354,3
1088,S,3,15
1092,T,355,-1
1092,T,355,2
1092,S,2,14
1093,T,356,-1
1093,T,356,1
1093,S,1,13
1095,T,357,-1
1095,T,357,0
1095,S,0,15
1096,T,358,-1
1096,T,358,4
1096,S,4,5
1101,T,359,-1
1101,T,359,4
1101,S,4,16
1105,T,360,-1
1105,T,360,3
1105,S,3,14
1109,T,361,-1
1109,T,361,1
1109,S,1,10
1111,T,362,-1
1111,T,362,0
1111,S,0,13
1114,T,363,-1
1114,T,363,2
1114,S,2,13
1115,T,364,-1
1115,T,364,4
1116,T,365,-1
1116,T,365,3
1117,T,366,-1
1117,S,4,10
1117,T,366,4
1118,T,367,-1
1118,T,367,2
1119,T,368,-1
1119,S,3,6
1119,T,368,1
1119,S,1,13
1121,T,369,-1
1121,T,369,0
1124,S,0,8
1126,T,370,-1
1126,T,370,3
1126,S,3,8
1127,S,4,7
1127,S,2,15
1128,T,371,-1
1128,T,371,1
1130,T,372,-1
1130,T,372,0
1131,T,373,-1
1131,T,373,3
1132,S,1,8
1132,S,0,14
1134,T,374,-1
1134,S,3,7
1134,T,374,4
1134,S,4,16
1136,T,375,-1
1136,T,375,1
1138,T,376,-1
1138,T,376,3
1139,T,377,-1
1139,T,377,0
1140,S,1,13
1141,T,378,-1
1141,S,3,5
1141,T,378,4
1145,T,379,-1
1145,T,379,2
1145,S,2,12
1146,S,0,15
1147,T,380,-1
1147,T,380,3
1147,S,3,7
1150,S,4,8
1151,T,381,-1
1151,T,381,0
1156,T,382,-1
1156,T,382,3
1156,S,3,5
1158,T,383,-1
1158,T,383,1
1158,S,1,14
1161,T,384,-1
1161,S,0,13
1161,T,384,2
1161,S,2,14
1166,T,385,-1
1166,T,385,3
1166,S,3,11
1168,T,386,-1
1168,T,386,4
1168,S,4,12
1171,T,387,-1
1171,T,387,1
1172,S,1,9
1174,T,388,-1
1174,T,388,0
1174,S,0,7
1175,T,389,-1
1175,T,389,2
1175,S,2,11
1180,T,390,-1
1180,T,390,3
1180,S,3,5
1184,T,391,-1
1184,T,391,1
1184,S,1,6
1188,T,392,-1
1188,T,392,2
1188,S,2,14
1192,T,393,-1
1192,T,393,3
1192,S,3,7
1195,T,394,-1
1195,T,394,1
1195,S,1,9
1197,T,395,-1
1197,T,395,0
1197,S,0,11
1201,T,396,-1
1201,T,396,3
1201,S,3,9
1205,T,397,-1
1205,T,397,1
1205,S,1,13
1206,T,398,-1
1206,T,398,2
1206,S,2,5
1207,T,399,-1
1207,T,399,4
1207,S,4,13
1208,T,400,-1
1208,T,400,0
1208,S,0,14
1211,T,401,-1
1211,T,401,2
1211,S,2,9
1213,T,402,-1
1213,T,402,3
1213,S,3,13
1217,T,403,-1
1217,T,403,4
1218,T,404,-1
1218,T,404,1
1218,S,1,11
1220,S,4,16
1221,T,405,-1
1221,T,405,2
1221,S,2,12
1226,T,406,-1
1226,T,406,3
1226,S,3,8
1228,T,407,-1
1228,T,407,0
1228,S,0,5
1230,T,408,-1
1230,T,408,1
1230,S,1,9
1231,T,409,-1
1231,T,409,4
1235,T,410,-1
1235,T,410,2
1235,S,2,16
1236,S,4,13
1237,T,411,-1
1237,T,411,3
1237,S,3,13
1238,T,412,-1
1238,T,412,0
1238,S,0,11
1241,T,413,-1
1241,T,413,1
1241,S,1,7
1245,T,414,-1
1245,T,414,1
1248,T,415,-1
1248,S,1,6
1248,T,415,3
1250,S,3,16
1252,T,416,-1
1252,T,416,0
1252,S,0,7
1257,T,417,-1
1257,T,417,2
1257,S,2,11
1261,T,418,-1
1261,T,418,0
1261,S,0,10
1263,T,419,-1
1263,T,419,1
1263,S,1,11
1264,T,420,-1
1264,T,420,4
1264,S,4,5
1267,T,421,-1
1267,T,421,3
1267,S,3,15
1270,T,422,-1
1270,T,422,2
1270,S,2,13
1271,T,423,-1
1271,T,423,0
1271,S,0,8
1275,T,424,-1
1275,T,424,1
1275,S,1,7
1278,T,425,-1
1278,T,425,4
1278,S,4,9
1283,T,426,-1
1283,T,426,3
1283,S,3,8
1287,T,427,-1
1287,T,427,1
1287,S,1,15
1290,T,428,-1
1290,T,428,2
1290,S,2,14
1291,T,429,-1
1291,T,429,0
1291,S,0,13
1292,T,430,-1
1292,T,430,3
1292,S,3,7
1293,T,431,-1
1293,T,431,4
1293,S,4,12
1297,T,432,-1
1297,T,432,4
1301,T,433,-1
1301,T,433,3
1301,S,3,16
1305,T,434,-1
1305,S,4,6
1305,T,434,2
1305,S,2,9
1309,T,435,-1
1309,T,435,0
1309,S,0,7
1312,T,436,-1
1312,T,436,1
1312,S,1,13
1313,T,437,-1
1313,T,437,4
1313,S,4,6
1317,T,438,-1
1317,T,438,0
1317,S,0,9
1319,T,439,-1
1319,T,439,3
1319,S,3,10
1320,T,440,-1
1320,T,440,2
1320,S,2,9
1321,T,441,-1
1321,T,441,4
1321,S,4,12
1326,T,442,-1
1326,T,442,1
1326,S,1,15
1331,T,443,-1
1331,T,443,2
1331,S,2,8
1332,T,444,-1
1332,T,444,0
1332,S,0,15
1333,T,445,-1
1333,T,445,3
1333,S,3,11
1337,T,446,-1
1337,T,446,4
1337,S,4,6
1340,T,447,-1
1340,T,447,2
1340,S,2,14
1342,T,448,-1
1342,T,448,1
1342,S,1,9
1347,T,449,-1
1347,T,449,3
1347,S,3,11
1349,T,450,-1
1349,T,450,0
1349,S,0,10
1350,T,451,-1
1350,T,451,4
1350,S,4,8
1355,T,452,-1
1355,T,452,2
1355,S,2,10
1359,T,453,-1
1359,T,453,1
1359,S,1,15
1361,T,454,-1
1361,T,454,3
1361,S,3,9
1363,T,455,-1
1363,T,455,0
1363,S,0,14
1367,T,456,-1
1367,T,456,2
1367,S,2,5
1371,T,457,-1
1371,T,457,3
1371,S,3,12
