time,actor,id,durationOrDestinationId
395,S,0,15
395,T,127,1
395,S,1,15
400,T,128,-1
400,T,128,2
400,S,2,13
404,T,129,-1
404,T,129,3
404,S,3,14
405,T,130,-1
405,T,130,2
410,T,131,-1
410,T,131,0
410,S,0,12
413,S,2,11
415,T,132,-1
415,T,132,1
415,S,1,7
416,T,133,-1
416,T,133,1
417,T,134,-1
417,T,134,0
419,T,135,-1
419,T,135,3
419,S,3,5
421,T,136,-1
421,T,136,2
422,S,1,6
422,S,0,10
424,T,137,-1
424,T,137,3
424,S,3,13
424,S,2,16
427,T,138,-1
427,T,138,3
429,T,139,-1
429,T,139,1
429,S,1,9
433,T,140,-1
433,T,140,0
433,S,0,5
434,T,141,-1
434,T,141,0
436,T,142,-1
436,T,142,2
437,S,3,7
438,S,0,7
439,T,143,-1
439,T,143,1
439,S,1,11
440,S,2,5
442,T,144,-1
442,T,144,0
445,S,0,11
447,T,145,-1
447,T,145,3
447,S,3,14
448,T,146,-1
448,T,146,2
448,S,2,11
449,T,147,-1
449,T,147,0
454,T,148,-1
454,T,148,1
454,S,1,10
456,S,0,5
458,T,149,-1
458,T,149,0
459,T,150,-1
459,T,150,2
459,S,2,7
461,S,0,8
464,T,151,-1
464,T,151,3
464,S,3,11
466,T,152,-1
466,T,152,1
466,S,1,15
467,T,153,-1
467,T,153,2
467,S,2,10
471,T,154,-1
471,T,154,0
471,S,0,8
473,T,155,-1
473,T,155,1
475,T,156,-1
475,T,156,3
475,S,3,6
479,T,157,-1
479,T,157,0
479,S,0,13
480,T,158,-1
480,T,158,2
480,S,2,16
481,S,1,7
482,T,159,-1
482,T,159,3
482,S,3,16
485,T,160,-1
485,T,160,3
488,T,161,-1
488,T,161,1
488,S,1,6
492,T,162,-1
492,T,162,0
492,S,0,5
495,T,163,-1
495,T,163,1
495,S,1,11
498,S,3,11
500,T,164,-1
500,T,164,2
500,S,2,15
502,T,165,-1
502,T,165,0
502,S,0,11
504,T,166,-1
504,T,166,1
506,T,167,-1
506,S,1,6
506,T,167,0
508,T,168,-1
508,T,168,1
511,T,169,-1
511,T,169,3
511,S,3,7
512,S,1,15
513,S,0,16
515,T,170,-1
515,T,170,2
515,S,2,10
517,T,171,-1
517,T,171,2
520,T,172,-1
520,T,172,3
520,S,3,12
521,T,173,-1
521,T,173,0
525,T,174,-1
525,S,2,12
525,T,174,3
528,T,175,-1
528,T,175,1
528,S,1,16
529,S,0,13
530,T,176,-1
530,T,176,1
532,T,177,-1
532,S,3,10
532,T,177,3
535,T,178,-1
535,T,178,0
536,T,179,-1
536,T,179,2
537,S,2,16
541,T,180,-1
541,T,180,2
542,S,0,12
542,S,3,14
543,T,181,-1
543,T,181,0
544,T,182,-1
544,S,1,5
544,T,182,3
547,T,183,-1
547,T,183,1
549,S,1,8
552,T,184,-1
552,T,184,1
553,S,2,9
554,S,0,15
556,S,3,16
557,T,185,-1
557,S,1,8
557,T,185,3
561,T,186,-1
561,T,186,1
565,S,1,11
566,T,187,-1
566,T,187,2
566,S,2,13
568,T,188,-1
568,T,188,2
572,T,189,-1
572,T,189,0
572,S,0,11
572,S,3,12
573,T,190,-1
573,T,190,0
574,T,191,-1
574,T,191,3
579,T,192,-1
579,S,2,8
579,T,192,1
579,S,1,12
583,S,0,13
584,T,193,-1
584,S,3,10
584,T,193,1
588,T,194,-1
