time,actor,id,durationOrDestinationId
384,T,127,-1
384,T,127,0
384,S,0,10
387,T,128,-1
387,T,128,3
387,S,3,10
390,T,129,-1
390,T,129,1
390,S,1,10
391,T,130,-1
391,T,130,4
391,S,4,13
394,T,131,-1
394,T,131,0
394,S,0,7
399,T,132,-1
399,T,132,2
399,S,2,13
400,T,133,-1
400,T,133,1
400,S,1,11
403,T,134,-1
403,T,134,0
403,S,0,6
408,T,135,-1
408,T,135,3
408,S,3,16
411,T,136,-1
411,T,136,1
411,S,1,12
416,T,137,-1
416,T,137,0
416,S,0,11
417,T,138,-1
417,T,138,2
417,S,2,14
418,T,139,-1
418,T,139,4
418,S,4,7
422,T,140,-1
423,T,140,1
423,S,1,7
424,T,141,-1
424,T,141,3
424,S,3,8
427,T,142,-1
427,T,142,0
427,S,0,8
430,T,143,-1
430,T,143,1
430,S,1,16
434,T,144,-1
434,T,144,2
434,S,2,12
439,T,145,-1
439,T,145,0
439,S,0,7
442,T,146,-1
442,T,146,3
442,S,3,10
447,T,147,-1
447,T,147,1
447,S,1,8
452,T,148,-1
452,T,148,2
452,S,2,12
453,T,149,-1
453,T,149,0
453,S,0,5
456,T,150,-1
456,T,150,1
456,S,1,15
461,T,151,-1
461,T,151,0
461,S,0,7
465,T,152,-1
465,T,152,2
465,S,2,14
466,T,153,-1
466,T,153,3
466,S,3,9
469,T,154,-1
469,T,154,0
469,S,0,7
474,T,155,-1
474,T,155,1
474,S,1,11
477,T,156,-1
477,T,156,0
477,S,0,14
481,T,157,-1
481,T,157,2
481,S,2,16
483,T,158,-1
483,T,158,3
483,S,3,8
488,T,159,-1
488,T,159,1
488,S,1,16
490,T,160,-1
490,T,160,4
490,S,4,9
491,T,161,-1
491,T,161,0
491,S,0,13
493,T,162,-1
493,T,162,3
493,S,3,10
495,T,163,-1
497,T,164,-1
497,T,163,2
497,S,2,6
499,T,164,4
499,S,4,5
500,T,165,-1
503,T,165,2
503,S,2,9
504,T,166,-1
504,T,166,1
504,S,1,5
505,T,167,-1
505,T,167,0
505,S,0,13
510,T,168,-1
510,T,168,1
510,S,1,12
512,T,169,-1
512,T,169,3
512,S,3,16
516,T,170,-1
516,T,170,2
516,S,2,7
517,T,171,-1
517,T,171,4
517,S,4,7
519,T,172,-1
519,T,172,0
519,S,0,14
524,T,173,-1
524,T,173,1
524,S,1,16
529,T,174,-1
529,T,174,2
529,S,2,14
533,T,175,-1
533,T,175,0
533,S,0,7
538,T,176,-1
538,T,176,3
538,S,3,11
540,T,177,-1
540,T,177,1
540,S,1,14
545,T,178,-1
545,T,178,2
545,S,2,7
549,T,179,-1
549,T,179,0
549,S,0,14
552,T,180,-1
552,T,180,2
552,S,2,7
557,T,181,-1
557,T,181,3
557,S,3,5
562,T,182,-1
562,T,182,2
562,S,2,10
565,T,183,-1
565,T,183,1
565,S,1,6
566,T,184,-1
566,T,184,0
566,S,0,14
571,T,185,-1
571,T,185,3
571,S,3,15
575,T,186,-1
575,T,186,2
575,S,2,11
577,T,187,-1
577,T,187,1
577,S,1,5
580,T,188,-1
580,T,188,0
580,S,0,6
585,T,189,-1
585,T,189,1
585,S,1,15
590,T,190,-1
590,T,190,3
590,S,3,10
592,T,191,-1
592,T,191,0
592,S,0,7
594,T,192,-1
594,T,192,2
594,S,2,9
598,T,193,-1
598,T,193,4
598,S,4,6
602,T,194,-1
602,T,194,3
602,S,3,6
603,T,195,-1
603,T,195,2
603,S,2,8
606,T,196,-1
606,T,196,0
606,S,0,16
608,T,197,-1
608,T,197,1
608,S,1,16
609,T,198,-1
609,T,198,3
609,S,3,14
612,T,199,-1
612,T,199,2
612,S,2,16
614,T,200,-1
614,T,200,4
614,S,4,12
615,T,201,-1
617,T,202,-1
621,T,203,-1
622,T,201,0
622,S,0,6
623,T,202,3
623,S,3,8
624,T,203,1
624,S,1,15
626,T,204,-1
626,T,204,4
626,S,4,8
630,T,205,-1
630,T,205,2
630,S,2,10
635,T,206,-1
635,T,206,0
635,S,0,8
637,T,207,-1
637,T,207,3
637,S,3,12
641,T,208,-1
641,T,208,1
641,S,1,14
645,T,209,-1
645,T,209,0
645,S,0,7
648,T,210,-1
648,T,210,2
648,S,2,6
651,T,211,-1
651,T,211,3
651,S,3,15
652,T,212,-1
652,T,212,0
652,S,0,15
656,T,213,-1
656,T,213,2
656,S,2,7
658,T,214,-1
658,T,214,1
658,S,1,6
659,T,215,-1
659,T,215,4
659,S,4,7
664,T,216,-1
664,T,216,1
664,S,1,10
668,T,217,-1
668,T,217,2
668,S,2,10
671,T,218,-1
671,T,218,0
671,S,0,7
673,T,219,-1
673,T,219,3
673,S,3,12
678,T,220,-1
678,T,220,1
678,S,1,5
683,T,221,-1
683,T,221,2
683,S,2,7
688,T,222,-1
688,T,222,0
688,S,0,15
689,T,223,-1
689,T,223,1
689,S,1,6
691,T,224,-1
691,T,224,3
691,S,3,8
692,T,225,-1
692,T,225,2
692,S,2,16
695,T,226,-1
695,T,226,1
695,S,1,15
700,T,227,-1
700,T,227,3
700,S,3,12
701,T,228,-1
701,T,228,4
701,S,4,11
705,T,229,-1
705,T,229,0
705,S,0,15
707,T,230,-1
708,T,230,2
708,S,2,7
710,T,231,-1
710,T,231,1
710,S,1,10
715,T,232,-1
715,T,232,2
715,S,2,16
716,T,233,-1
716,T,233,3
716,S,3,9
718,T,234,-1
718,T,234,4
718,S,4,16
721,T,235,-1
721,T,235,0
721,S,0,9
723,T,236,-1
723,T,236,1
723,S,1,8
726,T,237,-1
726,T,237,3
726,S,3,9
727,T,238,-1
729,T,239,-1
730,T,238,0
730,S,0,16
731,T,239,2
731,S,2,15
733,T,240,-1
733,T,240,1
733,S,1,13
737,T,241,-1
737,T,241,3
737,S,3,9
738,T,242,-1
738,T,242,4
738,S,4,14
