time,actor,id,durationOrDestinationId
408,T,127,-1
409,T,127,0
409,S,0,6
411,T,128,-1
411,T,128,3
411,S,3,6
412,T,129,-1
413,T,130,-1
414,T,129,2
414,S,2,12
415,T,130,0
415,S,0,7
418,T,131,-1
418,T,131,1
418,S,1,10
419,T,132,-1
419,T,132,3
419,S,3,13
422,T,133,-1
422,T,133,0
422,S,0,9
425,T,134,-1
426,T,134,2
426,S,2,13
430,T,135,-1
430,T,135,1
430,S,1,8
431,T,136,-1
431,T,136,0
431,S,0,12
435,T,137,-1
435,T,137,3
435,S,3,16
436,T,138,-1
438,T,138,1
438,S,1,9
440,T,139,-1
440,T,139,2
440,S,2,8
442,T,140,-1
443,T,140,0
443,S,0,5
444,T,141,-1
447,T,141,1
447,S,1,12
449,T,142,-1
449,T,142,0
449,S,0,5
453,T,143,-1
453,T,143,2
453,S,2,8
457,T,144,-1
457,T,144,3
457,S,3,5
460,T,145,-1
460,T,145,0
460,S,0,13
461,T,146,-1
461,T,146,1
461,S,1,5
464,T,147,-1
464,T,147,2
464,S,2,7
468,T,148,-1
468,T,148,3
468,S,3,11
470,T,149,-1
470,T,149,1
470,S,1,16
475,T,150,-1
475,T,150,0
475,S,0,12
480,T,151,-1
480,T,151,2
480,S,2,5
485,T,152,-1
485,T,152,2
485,S,2,9
486,T,153,-1
486,T,153,3
486,S,3,7
489,T,154,-1
489,T,154,0
489,S,0,9
494,T,155,-1
494,T,155,3
494,S,3,12
498,T,156,-1
498,T,156,1
498,S,1,13
502,T,157,-1
502,T,157,2
502,S,2,5
503,T,158,-1
503,T,158,0
503,S,0,10
505,T,159,-1
506,T,159,3
506,S,3,10
508,T,160,-1
508,T,160,2
508,S,2,13
509,T,161,-1
510,T,162,-1
511,T,161,1
511,S,1,6
512,T,163,-1
513,T,164,-1
513,T,162,0
513,S,0,14
514,T,165,-1
516,T,163,3
516,S,3,13
517,T,166,-1
517,T,164,1
517,S,1,15
520,T,167,-1
521,T,165,2
521,S,2,9
523,T,168,-1
527,T,169,-1
527,T,166,0
527,S,0,7
528,T,170,-1
529,T,171,-1
529,T,167,3
529,S,3,5
530,T,168,2
530,S,2,15
532,T,169,1
532,S,1,7
533,T,172,-1
534,T,170,3
534,S,3,7
534,T,171,0
534,S,0,7
538,T,173,-1
539,T,172,1
539,S,1,11
541,T,173,0
541,S,0,10
542,T,174,-1
542,T,174,3
542,S,3,16
545,T,175,-1
545,T,175,2
545,S,2,12
546,T,176,-1
550,T,176,1
550,S,1,5
551,T,177,-1
551,T,177,0
551,S,0,6
556,T,178,-1
556,T,178,1
556,S,1,5
559,T,179,-1
559,T,179,0
559,S,0,16
562,T,180,-1
562,T,180,2
562,S,2,16
566,T,181,-1
566,T,181,3
566,S,3,6
571,T,182,-1
571,T,182,1
571,S,1,11
575,T,183,-1
575,T,183,3
575,S,3,13
576,T,184,-1
576,T,184,0
576,S,0,9
577,T,185,-1
578,T,186,-1
578,T,185,2
578,S,2,12
580,T,187,-1
582,T,188,-1
582,T,186,1
582,S,1,5
585,T,187,0
585,S,0,5
587,T,189,-1
587,T,188,1
587,S,1,5
588,T,189,3
588,S,3,5
589,T,190,-1
590,T,190,2
590,S,2,9
591,T,191,-1
591,T,191,0
591,S,0,8
594,T,192,-1
594,T,192,1
594,S,1,13
596,T,193,-1
596,T,193,3
596,S,3,10
601,T,194,-1
601,T,194,2
601,S,2,13
603,T,195,-1
603,T,195,0
603,S,0,5
604,T,196,-1
605,T,197,-1
606,T,196,3
606,S,3,8
607,T,198,-1
607,T,197,1
607,S,1,10
608,T,198,0
608,S,0,7
610,T,199,-1
614,T,199,2
614,S,2,13
615,T,200,-1
615,T,200,0
615,S,0,9
619,T,201,-1
619,T,201,1
619,S,1,9
621,T,202,-1
621,T,202,3
621,S,3,16
622,T,203,-1
624,T,203,0
624,S,0,10
626,T,204,-1
627,T,204,2
627,S,2,6
628,T,205,-1
628,T,205,1
628,S,1,9
630,T,206,-1
633,T,207,-1
633,T,206,2
633,S,2,12
634,T,207,0
634,S,0,15
636,T,208,-1
637,T,208,1
637,S,1,11
638,T,209,-1
638,T,209,3
638,S,3,15
639,T,210,-1
640,T,211,-1
644,T,212,-1
645,T,210,2
645,S,2,8
646,T,213,-1
648,T,211,1
648,S,1,16
649,T,212,0
649,S,0,8
651,T,214,-1
653,T,214,2
653,S,2,13
653,T,213,3
653,S,3,14
655,T,215,-1
657,T,215,0
657,S,0,10
659,T,216,-1
664,T,217,-1
664,T,216,1
664,S,1,16
666,T,218,-1
666,T,217,2
666,S,2,12
667,T,218,3
667,S,3,12
671,T,219,-1
671,T,219,0
671,S,0,14
674,T,220,-1
676,T,221,-1
677,T,222,-1
678,T,220,2
678,S,2,7
679,T,223,-1
679,T,221,3
679,S,3,16
680,T,222,1
680,S,1,6
683,T,224,-1
685,T,223,2
685,S,2,7
685,T,224,0
685,S,0,16
688,T,225,-1
688,T,225,1
688,S,1,13
691,T,226,-1
692,T,227,-1
692,T,226,2
692,S,2,10
695,T,228,-1
695,T,227,3
695,S,3,9
696,T,229,-1
701,T,230,-1
701,T,229,1
701,S,1,8
701,T,228,0
701,S,0,9
702,T,231,-1
702,T,230,2
702,S,2,7
704,T,232,-1
704,T,231,3
704,S,3,7
709,T,233,-1
709,T,232,2
709,S,2,11
709,T,233,1
709,S,1,14
710,T,234,-1
710,T,234,0
710,S,0,12
715,T,235,-1
715,T,235,3
715,S,3,16
718,T,236,-1
720,T,236,2
720,S,2,11
722,T,237,-1
722,T,237,0
722,S,0,15
727,T,238,-1
727,T,238,1
727,S,1,14
732,T,239,-1
732,T,239,2
732,S,2,6
737,T,240,-1
737,T,240,0
737,S,0,14
741,T,241,-1
741,T,241,2
741,S,2,16
745,T,242,-1
745,T,242,1
745,S,1,11
747,T,243,-1
747,T,243,3
747,S,3,14
752,T,244,-1
752,T,244,0
752,S,0,6
753,T,245,-1
755,T,246,-1
756,T,245,1
756,S,1,7
757,T,246,2
757,S,2,9
759,T,247,-1
759,T,247,0
759,S,0,11
762,T,248,-1
762,T,248,3
762,S,3,11
764,T,249,-1
764,T,249,1
764,S,1,14
766,T,250,-1
766,T,250,2
766,S,2,10
771,T,251,-1
771,T,251,0
771,S,0,7
775,T,252,-1
775,T,252,3
775,S,3,16
776,T,253,-1
776,T,253,2
776,S,2,16
780,T,254,-1
780,T,254,0
780,S,0,13
782,T,255,-1
782,T,255,1
782,S,1,7
783,T,256,-1
787,T,257,-1
789,T,256,1
789,S,1,14
790,T,258,-1
791,T,257,3
791,S,3,6
792,T,259,-1
792,T,258,2
792,S,2,8
793,T,260,-1
793,T,259,0
793,S,0,10
797,T,261,-1
797,T,260,3
797,S,3,9
800,T,262,-1
800,T,261,2
800,S,2,5
803,T,262,1
803,S,1,7
804,T,263,-1
804,T,263,0
804,S,0,15
805,T,264,-1
805,T,264,2
805,S,2,16
809,T,265,-1
809,T,265,3
809,S,3,14
812,T,266,-1
812,T,266,1
812,S,1,11
813,T,267,-1
816,T,268,-1
819,T,267,0
819,S,0,13
821,T,269,-1
821,T,268,2
821,S,2,13
822,T,270,-1
823,T,271,-1
823,T,269,3
823,S,3,10
823,T,270,1
823,S,1,13
824,T,272,-1
825,T,273,-1
827,T,274,-1
829,T,275,-1
832,T,276,-1
832,T,271,0
832,S,0,12
833,T,272,3
833,S,3,8
834,T,273,2
834,S,2,12
836,T,274,1
836,S,1,5
837,T,277,-1
841,T,278,-1
841,T,276,3
841,S,3,6
841,T,275,1
841,S,1,7
844,T,277,0
844,S,0,14
845,T,279,-1
846,T,278,2
846,S,2,16
